"kobo_farmer_id","country","sheet_id","index","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla","parent_table_name","parent_index","score_agroecology_module","label_score_agroecology_module"
292187285,"tunisia","HOLPA_Tunisia_household_surv",163,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
287880497,"tunisia","HOLPA_Tunisia_household_surv",104,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
281263502,"tunisia","HOLPA_Tunisia_household_surv",24,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
282640493,"tunisia","HOLPA_Tunisia_household_surv",79,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
282638371,"tunisia","HOLPA_Tunisia_household_surv",74,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
282689244,"tunisia","HOLPA_Tunisia_household_surv",84,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
284898597,"tunisia","HOLPA_Tunisia_household_surv",100,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
290880637,"tunisia","HOLPA_Tunisia_household_surv",151,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
288225013,"tunisia","HOLPA_Tunisia_household_surv",114,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
287884454,"tunisia","HOLPA_Tunisia_household_surv",109,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
288233577,"tunisia","HOLPA_Tunisia_household_surv",121,"_2_10_1_1","2","agroecology","4_animal_health","4_animal_health","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"2","Animals suffer periodically/seasonally from hunger and thirst, stress or diseases, and are slaughtered without avoiding unnecessary pain."
288232340,"tunisia","HOLPA_Tunisia_household_surv",120,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
