"crop_name","crop_production_unit","max_crop_yield_ha"
"Almond","Kilograms",2000
"Apple","Kilograms",240
"Barley","Balles",13.3333333333333
"Barley","Kilograms",2500
"Barley","Quintaux",499.5
"Barley","Tonnes",11
"Beans","Kilograms",6666.66666666667
"Bell pepper","Kilograms",26666.6666666667
"Cereal crops","Kilograms",0
"Cherry","Kilograms",150
"Common wheat","Kilograms",0
"Common wheat","Quintaux",30
"Durum wheat","Kilograms",100
"Durum wheat","Quintaux",30
"Fig","Kilograms",4000
"Fig","Tonnes",3
"Forage","Balles",150
"Forage","Kilograms",70
"Forage mixture (vot veste,oat, tritical )","Kilograms",8750
"Mixtrure VOT","Kilograms",0
"Oat","Balles",24
"Oat","Kilograms",12000
"Olive","Kilograms",130000
"Olive","Liters",500
"Olive","Quintaux",2.33333333333333
"Olive","Tonnes",10
"Ovt","Kilograms",0
"Parsley","Kilograms",10
"Pepper","Kilograms",30000
"Pomegranate","Kilograms",1000
"Prickly pear","Kilograms",50
"Raygras","Balles",400
"Raygras","Kilograms",2450
"Sulla","Kilograms",499.5
"The garlic","Kilograms",1600
"Tomato","Kilograms",66666.6666666667
"Triticale","Kilograms",999
"VOT","Kilograms",0
"Vegetables","Kilograms",500
"Vetch","Kilograms",5000
"Vetch and sulla","Kilograms",0
"Vot","Kilograms",0
"Wheat","Balles",1.66666666666667
"Wheat","Kilograms",26666.6666666667
