module,indicator,country,kobo_farmer_id,name_question,type,type_question,list_name,label_question,label_choice,name_choice,score_agroecology_module
agroecology,8_knowledge,zimbabwe,272780329,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Received 1 visit per year from agricultural extension workers,1,2
agroecology,8_knowledge,zimbabwe,272780344,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Received 2 to 3 visits per year from agricultural extension workers,3,3
agroecology,8_knowledge,zimbabwe,272785748,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Receive 5 or more visits per year from agricultural extension workers,7,5
agroecology,8_knowledge,zimbabwe,272785806,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Receive 5 or more visits per year from agricultural extension workers,24,5
agroecology,8_knowledge,zimbabwe,272796405,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Receive 5 or more visits per year from agricultural extension workers,68,5
agroecology,8_knowledge,zimbabwe,272799312,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Received 4 visits per year from agricultural extension workers,4,4
agroecology,8_knowledge,zimbabwe,272799497,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Receive 5 or more visits per year from agricultural extension workers,6,5
agroecology,8_knowledge,zimbabwe,272814278,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Received 1 visit per year from agricultural extension workers,1,2
agroecology,8_knowledge,zimbabwe,272814288,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Received no visits from agricultural extension workers,0,1
agroecology,8_knowledge,zimbabwe,272951213,_2_1_1_1,integer,integer,NA,"**Agricultural extension workers** **In the last 12 months, how many times has your household exchanged information with the following food system stakeholders to create new or improved solutions to your or others' farming problems?**",Receive 5 or more visits per year from agricultural extension workers,8,5
