"kobo_farmer_id","country","sheet_id","index","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla","parent_table_name","parent_index"
"272780329","zimbabwe","Final HOLPA_Zimbabwe_Household","1","_2_1_1_1","1","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272780344","zimbabwe","Final HOLPA_Zimbabwe_Household","2","_2_1_1_1","3","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272785748","zimbabwe","Final HOLPA_Zimbabwe_Household","3","_2_1_1_1","7","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272785806","zimbabwe","Final HOLPA_Zimbabwe_Household","4","_2_1_1_1","24","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272796405","zimbabwe","Final HOLPA_Zimbabwe_Household","5","_2_1_1_1","68","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272799312","zimbabwe","Final HOLPA_Zimbabwe_Household","6","_2_1_1_1","4","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272799497","zimbabwe","Final HOLPA_Zimbabwe_Household","7","_2_1_1_1","6","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272814278","zimbabwe","Final HOLPA_Zimbabwe_Household","8","_2_1_1_1","1","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272814288","zimbabwe","Final HOLPA_Zimbabwe_Household","9","_2_1_1_1","0","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272951213","zimbabwe","Final HOLPA_Zimbabwe_Household","10","_2_1_1_1","8","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272951350","zimbabwe","Final HOLPA_Zimbabwe_Household","11","_2_1_1_1","12","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272978054","zimbabwe","Final HOLPA_Zimbabwe_Household","12","_2_1_1_1","12","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272979074","zimbabwe","Final HOLPA_Zimbabwe_Household","13","_2_1_1_1","12","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272999349","zimbabwe","Final HOLPA_Zimbabwe_Household","14","_2_1_1_1","15","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272999394","zimbabwe","Final HOLPA_Zimbabwe_Household","15","_2_1_1_1","9","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"272999445","zimbabwe","Final HOLPA_Zimbabwe_Household","16","_2_1_1_1","14","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273000835","zimbabwe","Final HOLPA_Zimbabwe_Household","17","_2_1_1_1","60","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273075329","zimbabwe","Final HOLPA_Zimbabwe_Household","18","_2_1_1_1","10","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273075337","zimbabwe","Final HOLPA_Zimbabwe_Household","19","_2_1_1_1","10","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273077132","zimbabwe","Final HOLPA_Zimbabwe_Household","20","_2_1_1_1","12","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273077277","zimbabwe","Final HOLPA_Zimbabwe_Household","21","_2_1_1_1","12","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273098228","zimbabwe","Final HOLPA_Zimbabwe_Household","22","_2_1_1_1","2","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273098232","zimbabwe","Final HOLPA_Zimbabwe_Household","23","_2_1_1_1","2","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273128598","zimbabwe","Final HOLPA_Zimbabwe_Household","24","_2_1_1_1","14","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273129861","zimbabwe","Final HOLPA_Zimbabwe_Household","25","_2_1_1_1","14","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273145192","zimbabwe","Final HOLPA_Zimbabwe_Household","26","_2_1_1_1","5","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
"273308473","zimbabwe","Final HOLPA_Zimbabwe_Household","27","_2_1_1_1","24","agroecology","8_knowledge","8_knowledge",NA,"Agricultural extension workers","integer","integer",NA,"_2_1_1_1",NA,NA
