"kobo_farmer_id","country","sheet_id","index","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla","parent_table_name","parent_index"
"272780329","zimbabwe","Final HOLPA_Zimbabwe_Household","1","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272780344","zimbabwe","Final HOLPA_Zimbabwe_Household","2","_1_4_1_1_1","2","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272785748","zimbabwe","Final HOLPA_Zimbabwe_Household","3","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272785806","zimbabwe","Final HOLPA_Zimbabwe_Household","4","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272796405","zimbabwe","Final HOLPA_Zimbabwe_Household","5","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272799312","zimbabwe","Final HOLPA_Zimbabwe_Household","6","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272799497","zimbabwe","Final HOLPA_Zimbabwe_Household","7","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272814278","zimbabwe","Final HOLPA_Zimbabwe_Household","8","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272814288","zimbabwe","Final HOLPA_Zimbabwe_Household","9","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272951213","zimbabwe","Final HOLPA_Zimbabwe_Household","10","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272951350","zimbabwe","Final HOLPA_Zimbabwe_Household","11","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272978054","zimbabwe","Final HOLPA_Zimbabwe_Household","12","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272979074","zimbabwe","Final HOLPA_Zimbabwe_Household","13","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272999349","zimbabwe","Final HOLPA_Zimbabwe_Household","14","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272999394","zimbabwe","Final HOLPA_Zimbabwe_Household","15","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"272999445","zimbabwe","Final HOLPA_Zimbabwe_Household","16","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273000835","zimbabwe","Final HOLPA_Zimbabwe_Household","17","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273075329","zimbabwe","Final HOLPA_Zimbabwe_Household","18","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273075337","zimbabwe","Final HOLPA_Zimbabwe_Household","19","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273077132","zimbabwe","Final HOLPA_Zimbabwe_Household","20","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273077277","zimbabwe","Final HOLPA_Zimbabwe_Household","21","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273098228","zimbabwe","Final HOLPA_Zimbabwe_Household","22","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273098232","zimbabwe","Final HOLPA_Zimbabwe_Household","23","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273128598","zimbabwe","Final HOLPA_Zimbabwe_Household","24","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273129861","zimbabwe","Final HOLPA_Zimbabwe_Household","25","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
"273145192","zimbabwe","Final HOLPA_Zimbabwe_Household","26","_1_4_1_1_1","0","agroecology","5_biodiversity","5_biodiversity","acres","What is the total area in hectares (or acres) of land (agricultural or not) that your household: Currently OWNS:","decimal","decimal",NA,"_1_4_1_1_1",NA,NA
