"kobo_farmer_id","country","sheet_id","index","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla","parent_table_name","parent_index","score_agroecology_module","label_score_agroecology_module"
272785748,"zimbabwe","Final HOLPA_Zimbabwe_Household",3,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
272796405,"zimbabwe","Final HOLPA_Zimbabwe_Household",5,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272799312,"zimbabwe","Final HOLPA_Zimbabwe_Household",6,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272799497,"zimbabwe","Final HOLPA_Zimbabwe_Household",7,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272814278,"zimbabwe","Final HOLPA_Zimbabwe_Household",8,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272951213,"zimbabwe","Final HOLPA_Zimbabwe_Household",10,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272979074,"zimbabwe","Final HOLPA_Zimbabwe_Household",13,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272999349,"zimbabwe","Final HOLPA_Zimbabwe_Household",14,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272999394,"zimbabwe","Final HOLPA_Zimbabwe_Household",15,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
272999445,"zimbabwe","Final HOLPA_Zimbabwe_Household",16,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273000835,"zimbabwe","Final HOLPA_Zimbabwe_Household",17,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273075329,"zimbabwe","Final HOLPA_Zimbabwe_Household",18,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273075337,"zimbabwe","Final HOLPA_Zimbabwe_Household",19,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273077132,"zimbabwe","Final HOLPA_Zimbabwe_Household",20,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273077277,"zimbabwe","Final HOLPA_Zimbabwe_Household",21,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273129861,"zimbabwe","Final HOLPA_Zimbabwe_Household",25,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273145192,"zimbabwe","Final HOLPA_Zimbabwe_Household",26,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273308473,"zimbabwe","Final HOLPA_Zimbabwe_Household",27,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
273309012,"zimbabwe","Final HOLPA_Zimbabwe_Household",28,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
273344326,"zimbabwe","Final HOLPA_Zimbabwe_Household",29,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273386759,"zimbabwe","Final HOLPA_Zimbabwe_Household",32,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273386767,"zimbabwe","Final HOLPA_Zimbabwe_Household",33,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273386779,"zimbabwe","Final HOLPA_Zimbabwe_Household",34,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273387865,"zimbabwe","Final HOLPA_Zimbabwe_Household",35,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273395825,"zimbabwe","Final HOLPA_Zimbabwe_Household",37,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273554599,"zimbabwe","Final HOLPA_Zimbabwe_Household",40,"_2_10_1_1","4","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"4","Animals do not suffer from hunger, thirst or diseases but can experience stress, especially at slaughter."
273581559,"zimbabwe","Final HOLPA_Zimbabwe_Household",41,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273581588,"zimbabwe","Final HOLPA_Zimbabwe_Household",42,"_2_10_1_1","5","agroecology","4_animal_health","4_animal_health","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"5","Animals do not suffer from stress, hunger, thirst, pain, or diseases, and are slaughtered in a way to avoid unnecessary pain."
273676579,"zimbabwe","Final HOLPA_Zimbabwe_Household",43,"_2_10_1_1","3","agroecology","4_animal_health","4_animal_health","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter.","Are the animals of your farm healthy and happy?","select_one 2_10_1_1","select_one","2_10_1_1","_2_10_1_1",NA,NA,"3","Animals do not suffer from hunger or thirst, but suffer from stress, may be prone to diseases and can suffer from pain at slaughter."
