"crop_name","crop_production_unit","max_crop_yield_ha"
"Avocado","Kilograms",49421.0326030552
"Bambara nuts","Kilograms",617.76290753819
"Banana","Kilograms",12355.2581507638
"Beans","Kilograms",2471.05163015276
"Cabbages","Kilograms",11861.0478247333
"Common bean","Kilograms",37.0657744522914
"Cotton","Kilograms",1647.36775343517
"Cowpea","Kilograms",12355.2581507638
"Finger millet","Kilograms",37065.7744522914
"Groundnuts","Bucket (20 litres)",4942.10326030552
"Groundnuts","Bucket (20 litres) Unshelled",7.41315489045828
"Groundnuts","Kilograms",14826.3097809166
"Maize","Kilograms",27456.1292239196
"Mango","Kilograms",55598.6616784371
"Masau","Kilograms",49421.0326030552
"Millet","Kilograms",247.105163015276
"None","Bucket (20 litres)",1853.28872261457
"Onion","Kilograms",32947.3550687035
"Peaches","Kilograms",2471.05163015276
"Pepper","Kilograms",138.996654196093
"Potato","Kilograms",8236.83876717587
"Rapoko","Kilograms",1235.52581507638
"Rice","Kilograms",247.105163015276
"Rosella","Kilograms",345.947228221386
"Roundnuts","Bucket (20 litres) Unshelled",1.48263097809166
"Roundnuts","Kilograms",1235.52581507638
"Sesame","Kilograms",2471.05163015276
"Sorghum","Kilograms",2965.26195618331
"Soybeans","Kilograms",30.8881453769095
"Sugarbeans","Kilograms",1235.52581507638
"Sunflower","Kilograms",1976.84130412221
"Sweet potatoes","Kilograms",14826.3097809166
"Tobacco","Kilograms",1556.76252699624
"Tomatoes","Kilograms",7907.36521648883
"Velvet  beans (mucuna)","Kilograms",988.420652061104
