"kobo_farmer_id","country","name_question","name_choice","module","theme","indicator","label_choice","label_question","type","type_question","list_name","name_question_recla"
"272785806","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272799312","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272951350","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272978054","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272999349","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"272999394","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273077132","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273077277","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273145192","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273308473","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273309012","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273344326","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273386759","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273386767","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273387865","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273438050","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273554599","zimbabwe","_2_8_4_3_4","Wheelbarrow","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273581559","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273581588","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273676579","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273676899","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273677838","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273782166","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785016","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785039","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785070","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785077","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785094","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785120","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
"273785134","zimbabwe","_2_8_4_3_4","Human power","performance","environmental","energy","other","**What types of energy do you use for: Cleaning, processing or transporting harvested food**","text","text",NA,"_2_8_4_3_4"
